frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46060,80,0,1004957136,0,0,0,0,0,1,0,0,0,0,64128,0.000200000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46034,80,0,1267263949,0,0,0,0,0,1,0,0,0,0,64128,0.042799000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46032,80,0,749845733,0,0,0,0,0,1,0,0,0,0,64128,0.043870000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46060,0,3552565468,0,0,0,0,0,1,0,0,0,1,65024,0.001328000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46062,482,35879552,0,0,0,0,0,1,1,0,0,0,65024,11.773067000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46062,80,0,1241034636,0,0,0,0,0,1,0,0,0,0,64128,0.000565000
1,548,eth:ethertype:ip:tcp:http:data-text-lines,20,534,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46064,482,2031736397,0,0,0,0,0,1,1,0,0,0,65024,11.774777000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46064,0,2031736397,0,0,0,0,0,1,0,0,0,1,65024,0.000253000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.130,172.16.129.131,80,46062,0,35879552,0,0,0,0,0,1,0,0,0,1,65024,0.001763000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46064,80,0,1234241502,0,0,0,0,0,1,0,0,0,0,64128,0.000615000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46044,80,0,2381417157,0,0,0,0,0,1,0,0,0,0,64128,0.040652000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46040,80,0,1084826489,0,0,0,0,0,1,0,0,0,0,64128,0.041869000
1,66,eth:ethertype:ip:tcp,20,52,0,1,0,0,64,6,172.16.129.131,172.16.129.130,46042,80,0,2514248300,0,0,0,0,0,1,0,0,0,0,64128,0.043169000
